Instância;|V|;|E|;|T|;D_G;C_T
wrp4-70.stp;637;1269;70;0,006265;0,10989
wrp4-76.stp;766;1535;76;0,005239;0,099217
wrp4-23.stp;257;515;24;0,015655;0,093385
wrp4-28.stp;272;545;28;0,014787;0,102941
wrp4-61.stp;775;1538;62;0,005128;0,08
wrp4-75.stp;938;1869;76;0,004253;0,081023
wrp4-42.stp;552;1131;42;0,007437;0,076087
wrp4-64.stp;632;1281;64;0,006424;0,101266
wrp4-59.stp;904;1806;60;0,004425;0,066372
wrp4-58.stp;757;1493;58;0,005218;0,076618
wrp4-27.stp;243;497;28;0,016903;0,115226
wrp4-44.stp;398;788;44;0,009974;0,110553
wrp4-37.stp;522;1054;38;0,007751;0,072797
wrp4-71.stp;802;1609;72;0,005009;0,089776
wrp4-33.stp;304;571;34;0,012398;0,111842
wrp4-24.stp;493;963;24;0,00794;0,048682
wrp4-36.stp;363;750;36;0,011415;0,099174
wrp4-29.stp;247;505;30;0,016622;0,121457
wrp4-25.stp;422;808;26;0,009096;0,061611
wrp4-67.stp;1518;3060;68;0,002658;0,044796
wrp4-54.stp;688;1388;54;0,005873;0,078488
wrp4-52.stp;547;1115;52;0,007467;0,095064
wrp4-45.stp;388;815;46;0,010855;0,118557
wrp4-62.stp;1283;2493;62;0,003031;0,048324
wrp4-38.stp;294;618;38;0,014348;0,129252
wrp4-21.stp;529;1032;22;0,00739;0,041588
wrp4-16.stp;311;579;16;0,012011;0,051447
wrp4-39.stp;802;1553;40;0,004835;0,049875
wrp4-74.stp;802;1620;74;0,005044;0,092269
wrp4-49.stp;557;1080;50;0,006975;0,089767
wrp4-41.stp;465;955;42;0,008852;0,090323
wrp4-73.stp;1898;3616;74;0,002009;0,038988
wrp4-18.stp;211;380;18;0,017152;0,085308
wrp4-31.stp;390;786;32;0,010362;0,082051
wrp4-72.stp;1151;2274;72;0,003436;0,062554
wrp4-51.stp;668;1306;52;0,005862;0,077844
wrp4-35.stp;471;954;36;0,008619;0,076433
wrp4-22.stp;294;568;22;0,013188;0,07483
wrp4-40.stp;538;1088;40;0,007532;0,074349
wrp3-52.stp;701;1352;52;0,00551;0,07418
wrp3-33.stp;437;838;34;0,008796;0,077803
wrp3-14.stp;128;247;14;0,030389;0,109375
wrp3-80.stp;1491;2831;80;0,002549;0,053655
wrp3-43.stp;173;298;44;0,02003;0,254335
wrp3-15.stp;138;257;16;0,027187;0,115942
wrp3-27.stp;370;721;28;0,010562;0,075676
wrp3-39.stp;703;1616;40;0,006549;0,056899
wrp3-48.stp;925;1738;48;0,004067;0,051892
wrp3-38.stp;603;1207;38;0,00665;0,063018
wrp3-66.stp;2521;4858;66;0,001529;0,02618
wrp3-55.stp;1645;3186;56;0,002356;0,034043
wrp3-12.stp;84;149;12;0,042742;0,142857
wrp3-26.stp;402;780;26;0,009677;0,064677
wrp3-88.stp;743;1409;88;0,005111;0,118439
wrp3-19.stp;189;353;20;0,019869;0,10582
wrp3-83.stp;3168;6220;84;0,00124;0,026515
wrp3-92.stp;1765;3613;92;0,002321;0,052125
wrp3-13.stp;311;613;14;0,012717;0,045016
wrp3-84.stp;2356;4547;84;0,001639;0,035654
wrp3-29.stp;245;436;30;0,014587;0,122449
wrp3-56.stp;853;1590;56;0,004376;0,065651
wrp3-75.stp;729;1395;76;0,005257;0,104252
wrp3-37.stp;1011;2010;38;0,003937;0,037587
wrp3-23.stp;132;230;24;0,026602;0,181818
wrp3-60.stp;838;1763;60;0,005027;0,071599
wrp3-36.stp;435;818;36;0,008666;0,082759
wrp3-50.stp;1119;2251;50;0,003599;0,044683
wrp3-73.stp;1890;3613;74;0,002024;0,039153
wrp3-67.stp;987;1923;68;0,003952;0,068896
wrp3-99.stp;2076;4072;100;0,001891;0,04817
wrp3-24.stp;262;487;24;0,014244;0,091603
wrp3-62.stp;670;1316;62;0,005872;0,092537
wrp3-91.stp;1343;2594;92;0,002879;0,068503
wrp3-17.stp;177;354;18;0,022727;0,101695
wrp3-78.stp;2346;4656;78;0,001693;0,033248
wrp3-25.stp;246;468;26;0,01553;0,105691
wrp3-98.stp;2265;4545;98;0,001773;0,043267
wrp3-86.stp;1360;2607;86;0,002821;0,063235
wrp3-11.stp;128;227;12;0,027928;0,09375
wrp3-41.stp;178;307;42;0,019488;0,235955
wrp3-69.stp;856;1621;70;0,00443;0,081776
wrp3-95.stp;2404;4469;96;0,001547;0,039933
wrp3-42.stp;705;1373;42;0,005533;0,059574
wrp3-28.stp;307;559;28;0,011901;0,091205
wrp3-45.stp;1414;2813;46;0,002816;0,032532
wrp3-20.stp;245;454;20;0,015189;0,081633
wrp3-21.stp;237;444;22;0,015876;0,092827
wrp3-49.stp;886;1800;50;0,004591;0,056433
wrp3-22.stp;233;431;22;0,015946;0,094421
wrp3-76.stp;1761;3370;76;0,002175;0,043157
wrp3-53.stp;775;1471;54;0,004905;0,069677
wrp3-74.stp;1019;1941;74;0,003742;0,07262
wrp3-79.stp;833;1595;80;0,004603;0,096038
wrp3-94.stp;1976;3836;94;0,001966;0,047571
wrp3-16.stp;204;374;16;0,018062;0,078431
wrp3-64.stp;1822;3610;64;0,002176;0,035126
wrp3-30.stp;467;896;30;0,008234;0,06424
wrp3-96.stp;2518;4985;96;0,001573;0,038125
wrp3-70.stp;1468;2931;70;0,002722;0,047684
wrp3-85.stp;528;1017;86;0,00731;0,162879
wrp3-71.stp;1221;2414;72;0,003241;0,058968
wrp3-34.stp;1244;2474;34;0,0032;0,027331
wrp3-31.stp;323;592;32;0,011384;0,099071
oddwheel3.stp;7;9;4;0,428571;0,571429
antiwheel5.stp;10;15;6;0,333333;0,6
se03.stp;13;21;4;0,269231;0,307692
w23c23.stp;1081;3174;552;0,005437;0,510638
w13c29.stp;783;2262;406;0,007388;0,518519
oddcycle3.stp;6;9;4;0,6;0,666667
design432.stp;8;20;4;0,714286;0,5
w3c571.stp;3997;10278;2284;0,001287;0,571429
e06.stp;2500;5000;6;0,001601;0,0024
e17.stp;2500;62500;10;0,020008;0,004
e08.stp;2500;5000;418;0,001601;0,1672
e20.stp;2500;62500;1250;0,020008;0,5
e13.stp;2500;12500;418;0,004002;0,1672
e01.stp;2500;3125;6;0,001;0,0024
e16.stp;2500;62500;6;0,020008;0,0024
e12.stp;2500;12500;10;0,004002;0,004
e02.stp;2500;3125;10;0,001;0,004
e15.stp;2500;12500;1250;0,004002;0,5
e04.stp;2500;3125;626;0,001;0,2504
e05.stp;2500;3125;1250;0,001;0,5
e03.stp;2500;3125;418;0,001;0,1672
e09.stp;2500;5000;626;0,001601;0,2504
e10.stp;2500;5000;1250;0,001601;0,5
e18.stp;2500;62500;418;0,020008;0,1672
e11.stp;2500;12500;6;0,004002;0,0024
e07.stp;2500;5000;10;0,001601;0,004
e14.stp;2500;12500;626;0,004002;0,2504
e19.stp;2500;62500;626;0,020008;0,2504
p615.stp;200;370;40;0,018593;0,2
p605.stp;100;180;10;0,036364;0,1
p613.stp;200;370;10;0,018593;0,05
p602.stp;100;180;6;0,036364;0,06
p603.stp;100;180;6;0,036364;0,06
p604.stp;100;180;10;0,036364;0,1
p612.stp;100;180;50;0,036364;0,5
p606.stp;100;180;10;0,036364;0,1
p611.stp;100;180;50;0,036364;0,5
p614.stp;200;370;20;0,018593;0,1
p609.stp;100;180;20;0,036364;0,2
p616.stp;200;370;100;0,018593;0,5
p610.stp;100;180;50;0,036364;0,5
p607.stp;100;180;20;0,036364;0,2
p608.stp;100;180;20;0,036364;0,2
d11.stp;1000;5000;6;0,01001;0,006
d01.stp;1000;1250;6;0,002503;0,006
d15.stp;1000;5000;500;0,01001;0,5
d07.stp;1000;2000;10;0,004004;0,01
d18.stp;1000;25000;168;0,05005;0,168
d02.stp;1000;1250;10;0,002503;0,01
d03.stp;1000;1250;168;0,002503;0,168
d19.stp;1000;25000;250;0,05005;0,25
d17.stp;1000;25000;10;0,05005;0,01
d06.stp;1000;2000;6;0,004004;0,006
d13.stp;1000;5000;168;0,01001;0,168
d10.stp;1000;2000;500;0,004004;0,5
d20.stp;1000;25000;500;0,05005;0,5
d14.stp;1000;5000;250;0,01001;0,25
d09.stp;1000;2000;250;0,004004;0,25
d08.stp;1000;2000;168;0,004004;0,168
d16.stp;1000;25000;6;0,05005;0,006
d05.stp;1000;1250;500;0,002503;0,5
d12.stp;1000;5000;10;0,01001;0,01
d04.stp;1000;1250;250;0,002503;0,25
mc11.stp;400;760;214;0,009524;0,535
mc8.stp;400;760;188;0,009524;0,47
mc7.stp;400;760;170;0,009524;0,425
c02.stp;500;625;10;0,00501;0,02
c13.stp;500;2500;84;0,02004;0,168
c04.stp;500;625;126;0,00501;0,252
c18.stp;500;12500;84;0,1002;0,168
c05.stp;500;625;250;0,00501;0,5
c17.stp;500;12500;10;0,1002;0,02
c11.stp;500;2500;6;0,02004;0,012
c09.stp;500;1000;126;0,008016;0,252
c20.stp;500;12500;250;0,1002;0,5
c08.stp;500;1000;84;0,008016;0,168
c12.stp;500;2500;10;0,02004;0,02
c16.stp;500;12500;6;0,1002;0,012
c10.stp;500;1000;250;0,008016;0,5
c14.stp;500;2500;126;0,02004;0,252
c06.stp;500;1000;6;0,008016;0,012
c03.stp;500;625;84;0,00501;0,168
c19.stp;500;12500;126;0,1002;0,252
c01.stp;0;0;2;0,0;0,0
c07.stp;500;1000;10;0,008016;0,02
c15.stp;500;2500;250;0,02004;0,5
b16.stp;100;200;18;0,040404;0,18
b12.stp;75;150;38;0,054054;0,506667
b13.stp;100;125;18;0,025253;0,18
b04.stp;50;100;10;0,081633;0,2
b05.stp;50;100;14;0,081633;0,28
b17.stp;100;200;26;0,040404;0,26
b09.stp;75;94;38;0,033874;0,506667
b14.stp;100;125;26;0,025253;0,26
b08.stp;75;94;20;0,033874;0,266667
b18.stp;100;200;50;0,040404;0,5
b01.stp;50;63;10;0,051429;0,2
b07.stp;75;94;14;0,033874;0,186667
b11.stp;75;150;20;0,054054;0,266667
b02.stp;50;63;14;0,051429;0,28
b10.stp;75;150;14;0,054054;0,186667
b15.stp;100;125;50;0,025253;0,5
b03.stp;50;63;26;0,051429;0,52
b06.stp;50;100;26;0,081633;0,52
i160-231.stp;160;320;24;0,025157;0,15
i160-233.stp;160;320;24;0,025157;0,15
i160-302.stp;160;240;40;0,018868;0,25
i160-023.stp;160;12720;8;1,0;0,05
i160-134.stp;160;320;12;0,025157;0,075
i160-304.stp;160;240;40;0,018868;0,25
i160-135.stp;160;320;12;0,025157;0,075
i160-033.stp;160;320;8;0,025157;0,05
i160-022.stp;160;12720;8;1,0;0,05
i160-323.stp;160;12720;40;1,0;0,25
i160-121.stp;160;12720;12;1,0;0,075
i160-334.stp;160;320;40;0,025157;0,25
i160-223.stp;160;12720;24;1,0;0,15
i160-133.stp;160;320;12;0,025157;0,075
i160-002.stp;160;240;8;0,018868;0,05
i160-214.stp;160;812;24;0,063836;0,15
i160-202.stp;160;240;24;0,018868;0,15
i160-122.stp;160;12720;12;1,0;0,075
i160-045.stp;160;2544;8;0,2;0,05
i160-324.stp;160;12720;40;1,0;0,25
i160-325.stp;160;12720;40;1,0;0,25
i160-105.stp;160;240;12;0,018868;0,075
i160-215.stp;160;812;24;0,063836;0,15
i160-031.stp;160;320;8;0,025157;0,05
i160-141.stp;160;2544;12;0,2;0,075
i160-123.stp;160;12720;12;1,0;0,075
i160-331.stp;160;320;40;0,025157;0,25
i160-213.stp;160;812;24;0,063836;0,15
i160-342.stp;160;2544;40;0,2;0,25
i160-221.stp;160;12720;24;1,0;0,15
i160-203.stp;160;240;24;0,018868;0,15
i160-243.stp;160;2544;24;0,2;0,15
i160-004.stp;160;240;8;0,018868;0,05
i160-332.stp;160;320;40;0,025157;0,25
i160-032.stp;160;320;8;0,025157;0,05
i160-124.stp;160;12720;12;1,0;0,075
i160-313.stp;160;812;40;0,063836;0,25
i160-305.stp;160;240;40;0,018868;0,25
i160-015.stp;160;812;8;0,063836;0,05
i160-201.stp;160;240;24;0,018868;0,15
i160-044.stp;160;2544;8;0,2;0,05
i160-014.stp;160;812;8;0,063836;0,05
i160-205.stp;160;240;24;0,018868;0,15
i160-042.stp;160;2544;8;0,2;0,05
i160-115.stp;160;812;12;0,063836;0,075
i160-144.stp;160;2544;12;0,2;0,075
i160-333.stp;160;320;40;0,025157;0,25
i160-145.stp;160;2544;12;0,2;0,075
i160-235.stp;160;320;24;0,025157;0,15
i160-314.stp;160;812;40;0,063836;0,25
i160-335.stp;160;320;40;0,025157;0,25
i160-111.stp;160;812;12;0,063836;0,075
i160-204.stp;160;240;24;0,018868;0,15
i160-102.stp;160;240;12;0,018868;0,075
i160-341.stp;160;2544;40;0,2;0,25
i160-303.stp;160;240;40;0,018868;0,25
i160-212.stp;160;812;24;0,063836;0,15
i160-311.stp;160;812;40;0,063836;0,25
i160-242.stp;160;2544;24;0,2;0,15
i160-114.stp;160;812;12;0,063836;0,075
i160-034.stp;160;320;8;0,025157;0,05
i160-344.stp;160;2544;40;0,2;0,25
i160-043.stp;160;2544;8;0,2;0,05
i160-013.stp;160;812;8;0,063836;0,05
i160-021.stp;160;12720;8;1,0;0,05
i160-225.stp;160;12720;24;1,0;0,15
i160-244.stp;160;2544;24;0,2;0,15
i160-222.stp;160;12720;24;1,0;0,15
i160-345.stp;160;2544;40;0,2;0,25
i160-234.stp;160;320;24;0,025157;0,15
i160-245.stp;160;2544;24;0,2;0,15
i160-143.stp;160;2544;12;0,2;0,075
i160-112.stp;160;812;12;0,063836;0,075
i160-321.stp;160;12720;40;1,0;0,25
i160-132.stp;160;320;12;0,025157;0,075
i160-211.stp;160;812;24;0,063836;0,15
i160-024.stp;160;12720;8;1,0;0,05
i160-131.stp;160;320;12;0,025157;0,075
i160-104.stp;160;240;12;0,018868;0,075
i160-113.stp;160;812;12;0,063836;0,075
i160-012.stp;160;812;8;0,063836;0,05
i160-343.stp;160;2544;40;0,2;0,25
i160-011.stp;160;812;8;0,063836;0,05
i160-041.stp;160;2544;8;0,2;0,05
i160-001.stp;160;240;8;0,018868;0,05
i160-103.stp;160;240;12;0,018868;0,075
i160-003.stp;160;240;8;0,018868;0,05
i160-035.stp;160;320;8;0,025157;0,05
i160-142.stp;160;2544;12;0,2;0,075
i160-125.stp;160;12720;12;1,0;0,075
i160-301.stp;160;240;40;0,018868;0,25
i160-322.stp;160;12720;40;1,0;0,25
i160-101.stp;160;240;12;0,018868;0,075
i160-315.stp;160;812;40;0,063836;0,25
i160-241.stp;160;2544;24;0,2;0,15
i160-224.stp;160;12720;24;1,0;0,15
i160-025.stp;160;12720;8;1,0;0,05
i160-312.stp;160;812;40;0,063836;0,25
i160-005.stp;160;240;8;0,018868;0,05
i160-232.stp;160;320;24;0,025157;0,15
i320-014.stp;320;1845;8;0,036148;0,025
i320-033.stp;320;640;8;0,012539;0,025
i320-034.stp;320;640;8;0,012539;0,025
i320-002.stp;320;480;8;0,009404;0,025
i320-315.stp;320;1845;80;0,036148;0,25
i320-233.stp;320;640;34;0,012539;0,10625
i320-131.stp;320;640;18;0,012539;0,05625
i320-222.stp;320;51040;34;1,0;0,10625
i320-205.stp;320;480;34;0,009404;0,10625
i320-015.stp;320;1845;8;0,036148;0,025
i320-003.stp;320;480;8;0,009404;0,025
i320-301.stp;320;480;80;0,009404;0,25
i320-325.stp;320;51040;80;1,0;0,25
i320-012.stp;320;1845;8;0,036148;0,025
i320-111.stp;320;1845;18;0,036148;0,05625
i320-324.stp;320;51040;80;1,0;0,25
i320-211.stp;320;1845;34;0,036148;0,10625
i320-025.stp;320;51040;8;1,0;0,025
i320-245.stp;320;10208;34;0,2;0,10625
i320-042.stp;320;10208;8;0,2;0,025
i320-123.stp;320;51040;18;1,0;0,05625
i320-242.stp;320;10208;34;0,2;0,10625
i320-303.stp;320;480;80;0,009404;0,25
i320-031.stp;320;640;8;0,012539;0,025
i320-335.stp;320;640;80;0,012539;0,25
i320-231.stp;320;640;34;0,012539;0,10625
i320-115.stp;320;1845;18;0,036148;0,05625
i320-023.stp;320;51040;8;1,0;0,025
i320-234.stp;320;640;34;0,012539;0,10625
i320-345.stp;320;10208;80;0,2;0,25
i320-121.stp;320;51040;18;1,0;0,05625
i320-124.stp;320;51040;18;1,0;0,05625
i320-235.stp;320;640;34;0,012539;0,10625
i320-112.stp;320;1845;18;0,036148;0,05625
i320-103.stp;320;480;18;0,009404;0,05625
i320-105.stp;320;480;18;0,009404;0,05625
i320-144.stp;320;10208;18;0,2;0,05625
i320-001.stp;320;480;8;0,009404;0,025
i320-304.stp;320;480;80;0,009404;0,25
i320-344.stp;320;10208;80;0,2;0,25
i320-202.stp;320;480;34;0,009404;0,10625
i320-142.stp;320;10208;18;0,2;0,05625
i320-313.stp;320;1845;80;0,036148;0,25
i320-045.stp;320;10208;8;0,2;0,025
i320-145.stp;320;10208;18;0,2;0,05625
i320-201.stp;320;480;34;0,009404;0,10625
i320-043.stp;320;10208;8;0,2;0,025
i320-114.stp;320;1845;18;0,036148;0,05625
i320-342.stp;320;10208;80;0,2;0,25
i320-225.stp;320;51040;34;1,0;0,10625
i320-232.stp;320;640;34;0,012539;0,10625
i320-035.stp;320;640;8;0,012539;0,025
i320-302.stp;320;480;80;0,009404;0,25
i320-133.stp;320;640;18;0,012539;0,05625
i320-044.stp;320;10208;8;0,2;0,025
i320-135.stp;320;640;18;0,012539;0,05625
i320-311.stp;320;1845;80;0,036148;0,25
i320-204.stp;320;480;34;0,009404;0,10625
i320-102.stp;320;480;18;0,009404;0,05625
i320-203.stp;320;480;34;0,009404;0,10625
i320-213.stp;320;1845;34;0,036148;0,10625
i320-101.stp;320;480;18;0,009404;0,05625
i320-322.stp;320;51040;80;1,0;0,25
i320-241.stp;320;10208;34;0,2;0,10625
i320-343.stp;320;10208;80;0,2;0,25
i320-244.stp;320;10208;34;0,2;0,10625
i320-212.stp;320;1845;34;0,036148;0,10625
i320-104.stp;320;480;18;0,009404;0,05625
i320-143.stp;320;10208;18;0,2;0,05625
i320-132.stp;320;640;18;0,012539;0,05625
i320-032.stp;320;640;8;0,012539;0,025
i320-013.stp;320;1845;8;0,036148;0,025
i320-341.stp;320;10208;80;0,2;0,25
i320-041.stp;320;10208;8;0,2;0,025
i320-333.stp;320;640;80;0,012539;0,25
i320-332.stp;320;640;80;0,012539;0,25
i320-224.stp;320;51040;34;1,0;0,10625
i320-215.stp;320;1845;34;0,036148;0,10625
i320-021.stp;320;51040;8;1,0;0,025
i320-122.stp;320;51040;18;1,0;0,05625
i320-312.stp;320;1845;80;0,036148;0,25
i320-314.stp;320;1845;80;0,036148;0,25
i320-323.stp;320;51040;80;1,0;0,25
i320-011.stp;320;1845;8;0,036148;0,025
i320-305.stp;320;480;80;0,009404;0,25
i320-321.stp;320;51040;80;1,0;0,25
i320-134.stp;320;640;18;0,012539;0,05625
i320-022.stp;320;51040;8;1,0;0,025
i320-141.stp;320;10208;18;0,2;0,05625
i320-334.stp;320;640;80;0,012539;0,25
i320-243.stp;320;10208;34;0,2;0,10625
i320-024.stp;320;51040;8;1,0;0,025
i320-223.stp;320;51040;34;1,0;0,10625
i320-004.stp;320;480;8;0,009404;0,025
i320-221.stp;320;51040;34;1,0;0,10625
i320-214.stp;320;1845;34;0,036148;0,10625
i320-113.stp;320;1845;18;0,036148;0,05625
i320-125.stp;320;51040;18;1,0;0,05625
i320-005.stp;320;480;8;0,009404;0,025
i320-331.stp;320;640;80;0,012539;0,25
i080-321.stp;80;3160;20;1,0;0,25
i080-324.stp;80;3160;20;1,0;0,25
i080-114.stp;80;350;8;0,110759;0,1
i080-105.stp;80;120;8;0,037975;0,1
i080-221.stp;80;3160;16;1,0;0,2
i080-131.stp;80;160;8;0,050633;0,1
i080-344.stp;80;632;20;0,2;0,25
i080-125.stp;80;3160;8;1,0;0,1
i080-112.stp;80;350;8;0,110759;0,1
i080-005.stp;80;120;6;0,037975;0,075
i080-022.stp;80;3160;6;1,0;0,075
i080-205.stp;80;120;16;0,037975;0,2
i080-232.stp;80;160;16;0,050633;0,2
i080-001.stp;80;120;6;0,037975;0,075
i080-014.stp;80;350;6;0,110759;0,075
i080-334.stp;80;160;20;0,050633;0,25
i080-035.stp;80;160;6;0,050633;0,075
i080-243.stp;80;632;16;0,2;0,2
i080-305.stp;80;120;20;0,037975;0,25
i080-214.stp;80;350;16;0,110759;0,2
i080-004.stp;80;120;6;0,037975;0,075
i080-225.stp;80;3160;16;1,0;0,2
i080-021.stp;80;3160;6;1,0;0,075
i080-215.stp;80;350;16;0,110759;0,2
i080-235.stp;80;160;16;0,050633;0,2
i080-121.stp;80;3160;8;1,0;0,1
i080-102.stp;80;120;8;0,037975;0,1
i080-245.stp;80;632;16;0,2;0,2
i080-134.stp;80;160;8;0,050633;0,1
i080-211.stp;80;350;16;0,110759;0,2
i080-111.stp;80;350;8;0,110759;0,1
i080-234.stp;80;160;16;0,050633;0,2
i080-133.stp;80;160;8;0,050633;0,1
i080-012.stp;80;350;6;0,110759;0,075
i080-332.stp;80;160;20;0,050633;0,25
i080-233.stp;80;160;16;0,050633;0,2
i080-323.stp;80;3160;20;1,0;0,25
i080-322.stp;80;3160;20;1,0;0,25
i080-242.stp;80;632;16;0,2;0,2
i080-104.stp;80;120;8;0,037975;0,1
i080-122.stp;80;3160;8;1,0;0,1
i080-115.stp;80;350;8;0,110759;0,1
i080-202.stp;80;120;16;0,037975;0,2
i080-042.stp;80;632;6;0,2;0,075
i080-301.stp;80;120;20;0,037975;0,25
i080-341.stp;80;632;20;0,2;0,25
i080-314.stp;80;350;20;0,110759;0,25
i080-241.stp;80;632;16;0,2;0,2
i080-244.stp;80;632;16;0,2;0,2
i080-343.stp;80;632;20;0,2;0,25
i080-145.stp;80;632;8;0,2;0,1
i080-011.stp;80;350;6;0,110759;0,075
i080-203.stp;80;120;16;0,037975;0,2
i080-141.stp;80;632;8;0,2;0,1
i080-201.stp;80;120;16;0,037975;0,2
i080-103.stp;80;120;8;0,037975;0,1
i080-311.stp;80;350;20;0,110759;0,25
i080-033.stp;80;160;6;0,050633;0,075
i080-302.stp;80;120;20;0,037975;0,25
i080-312.stp;80;350;20;0,110759;0,25
i080-345.stp;80;632;20;0,2;0,25
i080-032.stp;80;160;6;0,050633;0,075
i080-304.stp;80;120;20;0,037975;0,25
i080-043.stp;80;632;6;0,2;0,075
i080-315.stp;80;350;20;0,110759;0,25
i080-015.stp;80;350;6;0,110759;0,075
